filename,width,height,class,xmin,ymin,xmax,ymax
hex-bolt.jpg,800,605,screw,149,267,256,460
hex-bolt.jpg,800,605,screw,286,263,444,420
hex-bolt.jpg,800,605,screw,356,205,541,296
hex-bolt.jpg,800,605,screw,364,90,540,171
700-nw.jpg,700,700,screw,85,44,657,628
Fastener-DIN933.jpg,488,394,screw,7,66,401,304
07170-Sechskantschrauben-mit-Schaft-DIN-931-DIN-EN-ISO-4014-DIN-EN-24014-Hexagon-head-bolts-DIN-931-DIN-EN-ISO-4014-DIN-EN-24014.jpg,469,750,screw,3,2,219,602
07170-Sechskantschrauben-mit-Schaft-DIN-931-DIN-EN-ISO-4014-DIN-EN-24014-Hexagon-head-bolts-DIN-931-DIN-EN-ISO-4014-DIN-EN-24014.jpg,469,750,screw,272,261,468,750
699978293_400.jpg,600,600,screw,104,125,362,210
699978293_400.jpg,600,600,screw,161,186,366,291
699978293_400.jpg,600,600,screw,249,224,422,346
699978293_400.jpg,600,600,screw,359,249,466,349
699978293_400.jpg,600,600,screw,436,264,499,363
pl16752772-hexagon_bolts_partial_thread_12_9_grade_steel_bolt.jpg,1120,746,screw,185,164,891,400
pl16752772-hexagon_bolts_partial_thread_12_9_grade_steel_bolt.jpg,1120,746,screw,237,468,716,663
page-85204-9.jpg,640,480,screw,82,63,552,404
a83b8c288dbe5fc210bcc989153706c3.jpeg,1276,850,screw,334,309,1155,618
04.02.2016113011.jpg,800,509,screw,45,85,754,444
1308-2-800x800.jpg,800,800,screw,51,320,731,505
"Bolt-GOST-7798--70---7805-shestigrannyy,-chernyy-(Klass-prochnosti-5-8)_STI1NThUZg.jpg",1064,1064,screw,82,141,937,1010
867ec8541b1c.jpg,659,619,screw,77,103,570,531
4f30679bea3e29f706bac02fc7177ee9.jpg,800,533,screw,76,46,707,472
"Bolt-GOST-7805-70-shestigrannyy,-chernyy-(k-t--A,-k-p--10-9)_STE5NjVUZg.jpg",300,180,screw,14,45,287,133
283803.jpg,400,239,screw,11,13,395,230
4014.jpg,375,600,screw,1,1,175,481
4014.jpg,375,600,screw,216,207,374,600
33584-infasco-3-4-10-x-2-1-2-unc-hex-head-cap-screw-bolt-grade-5-lot-of-4-7.jpg,1280,960,screw,1,299,777,627
33584-infasco-3-4-10-x-2-1-2-unc-hex-head-cap-screw-bolt-grade-5-lot-of-4-7.jpg,1280,960,screw,430,6,1056,294
33584-infasco-3-4-10-x-2-1-2-unc-hex-head-cap-screw-bolt-grade-5-lot-of-4-7.jpg,1280,960,screw,670,531,1280,935
33584-infasco-3-4-10-x-2-1-2-unc-hex-head-cap-screw-bolt-grade-5-lot-of-4-7.jpg,1280,960,screw,1006,186,1280,509
e13de53b8d545536385a1d2aac82f858.jpg,800,533,screw,90,106,723,395
20170314113521_97809.jpg,619,240,screw,225,79,378,147
699973092_886.jpg,600,600,screw,178,116,448,211
699973092_886.jpg,600,600,screw,199,226,443,295
699973092_886.jpg,600,600,screw,265,319,436,372
621360.jpg,800,800,screw,137,111,671,652
iso_4014_1999_din_en_iso_4014_din_931_1_hex_hex_head_cap_screw_hex_bolt_hex_bolts.jpg,200,200,screw,17,64,189,131
a_20160125_1331388773.png.jpeg,1920,1440,screw,483,244,1461,1100
bolt-and-nut-bolts-and-nuts-508204.jpg,520,390,screw,44,35,475,348
2602574169.jpg,480,480,screw,6,84,467,396
75942615_w640_h640_p1000283.jpg,1024,768,screw,173,257,935,483
page-7339-9.jpg,640,480,screw,86,81,328,379
page-7339-9.jpg,640,480,screw,227,139,544,344
DIN_931_2.jpg,450,405,screw,37,105,425,290
HTB1WXDwJpXXXXbZXXXXq6xXFXXX2.jpg,1000,750,screw,181,148,524,407
HTB1WXDwJpXXXXbZXXXXq6xXFXXX2.jpg,1000,750,screw,272,175,654,587
HTB1WXDwJpXXXXbZXXXXq6xXFXXX2.jpg,1000,750,screw,443,224,830,750
201705231333054764.jpg,500,400,screw,136,18,245,353
201705231333054764.jpg,500,400,screw,273,28,385,362
img-816477628_30614361092571075.jpg,1024,1024,screw,28,373,999,647
10.9-hex-head-bolt.jpg,1000,557,screw,389,47,489,499
10.9-hex-head-bolt.jpg,1000,557,screw,520,83,647,504
386322141_421.jpg,800,533,screw,357,122,471,425
386322141_421.jpg,800,533,screw,90,190,316,419
50800.0.jpg,690,466,screw,67,21,161,370
50800.0.jpg,690,466,screw,178,61,262,373
50800.0.jpg,690,466,screw,281,100,362,382
50800.0.jpg,690,466,screw,378,155,476,379
50800.0.jpg,690,466,screw,466,269,656,399
5940440902720366.jpg,2304,1728,screw,544,230,1947,758
5940440902720366.jpg,2304,1728,screw,660,840,1919,1220
5940440902720366.jpg,2304,1728,screw,990,1353,1877,1645
699976633_864.jpg,600,600,screw,151,137,241,300
699976633_864.jpg,600,600,screw,393,104,524,324
699976633_864.jpg,600,600,screw,69,300,279,361
699976633_864.jpg,600,600,screw,201,310,385,401
33596-infasco-3-4-10-x-4-1-2-unc-inch-hex-head-cap-screw-bolt-black-grade-5-lot-of-2.jpg,1280,960,screw,114,230,1094,464
33596-infasco-3-4-10-x-4-1-2-unc-inch-hex-head-cap-screw-bolt-black-grade-5-lot-of-2.jpg,1280,960,screw,124,394,1204,660
c090058c0ccf27fb67e85925d11537ce.jpg,800,533,screw,76,79,705,427
28e8c43e-df30-11e3-80d8-005056891c8b_8c64ea44-6284-11e5-81c1-0050568de98a.jpeg,1299,1204,screw,123,72,1166,1122
f39640d6699eff9c5f5fd582778bab96_1.jpg,314,314,screw,123,40,209,279
DIN-931_20_1.jpg,700,700,screw,129,271,558,479
7829ae98138f59bdc48d6d66088471e6.jpg,800,533,screw,99,89,720,437
Hex-Bolts-ISO4014-M5-M56-Cl-4-8-6-8-8-8-10-9.jpg,492,437,screw,75,85,102,155
Hex-Bolts-ISO4014-M5-M56-Cl-4-8-6-8-8-8-10-9.jpg,492,437,screw,102,35,127,128
Hex-Bolts-ISO4014-M5-M56-Cl-4-8-6-8-8-8-10-9.jpg,492,437,screw,135,68,160,148
Hex-Bolts-ISO4014-M5-M56-Cl-4-8-6-8-8-8-10-9.jpg,492,437,screw,168,75,190,129
Hex-Bolts-ISO4014-M5-M56-Cl-4-8-6-8-8-8-10-9.jpg,492,437,screw,193,85,265,142
Hex-Bolts-ISO4014-M5-M56-Cl-4-8-6-8-8-8-10-9.jpg,492,437,screw,126,130,191,187
Hex-Bolts-ISO4014-M5-M56-Cl-4-8-6-8-8-8-10-9.jpg,492,437,screw,172,140,237,183
Hex-Bolts-ISO4014-M5-M56-Cl-4-8-6-8-8-8-10-9.jpg,492,437,screw,201,233,402,331
Hex-Bolts-ISO4014-M5-M56-Cl-4-8-6-8-8-8-10-9.jpg,492,437,screw,200,285,443,413
1498395198938.jpg,800,649,screw,233,61,382,526
1498395198938.jpg,800,649,screw,451,73,582,372
743_original.jpg,1024,690,screw,225,304,494,590
743_original.jpg,1024,690,screw,368,203,663,506
743_original.jpg,1024,690,screw,507,109,850,460
9493_hex_cap_screw.jpg,800,640,screw,127,61,188,309
9493_hex_cap_screw.jpg,800,640,screw,263,61,323,309
9493_hex_cap_screw.jpg,800,640,screw,94,324,299,519
9493_hex_cap_screw.jpg,800,640,screw,212,415,422,612
9493_hex_cap_screw.jpg,800,640,screw,505,349,576,573
9493_hex_cap_screw.jpg,800,640,screw,630,345,700,570
9493_hex_cap_screw.jpg,800,640,screw,585,197,674,294
bolt-510_5995468f840c8.jpg,500,500,screw,42,96,205,404
bolt-510_5995468f840c8.jpg,500,500,screw,199,180,473,378
1334249.jpg,348,232,screw,102,73,336,165
schrauben-12.04.2013-1.jpg,2244,1491,screw,547,573,1785,950
103597.jpeg,800,600,screw,51,193,90,305
103597.jpeg,800,600,screw,116,178,179,301
103597.jpeg,800,600,screw,230,186,273,345
103597.jpeg,800,600,screw,413,175,467,376
103597.jpeg,800,600,screw,501,173,554,402
103597.jpeg,800,600,screw,581,177,639,414
103597.jpeg,800,600,screw,663,165,743,386
Hex-Bolts.jpg,503,466,screw,2,130,98,266
Hex-Bolts.jpg,503,466,screw,109,32,180,216
Hex-Bolts.jpg,503,466,screw,190,1,309,204
Hex-Bolts.jpg,503,466,screw,232,6,445,280
Hex-Bolts.jpg,503,466,screw,127,271,208,449
Hex-Bolts.jpg,503,466,screw,220,310,432,466
Hex-Bolts.jpg,503,466,screw,411,126,503,317
IMG_5927.JPG,1400,1050,screw,237,130,568,620
IMG_5927.JPG,1400,1050,screw,296,617,884,903
IMG_5927.JPG,1400,1050,screw,601,153,848,644
IMG_5927.JPG,1400,1050,screw,863,339,1138,862
